token,name,type,guiname,leave_approval,join_approval,requiremilitancy,base threat,low threat,medium,high,required,radicalisationrate,de-radical rate,groups,,
#,WildlifeTrust,PROTEST,The Wildlife Trust,0.7,0.35,0.5,0.4,Os membros da 'Wildlife trust' estao falando mal do governo na internet, The Wildlife trust estao fazendo campanha ativamente contra a politica do governo,"The Wildlife trust tem chamado para o governo a reverter suas politicas, e oficialmente apoiam a oposicao",Environmentalist,0,0,"Environmentalist,0.75","MiddleIncome,0.3",
#,HeritageSociety,PROTEST,A Sociedade da Heranca,0.7,0.35,0.5,0.8,O Sociedade da Heranca tem criticado o governo em seu jornal,O Sociedade da Heranca tem descrito as politicas do governo como uma desgraca e incitam seus membros para nao apoia-lo.,"O Sociedade da Heranca foram enviar grandes peticoes ao governo, criticando as suas politicas atuais.",Wealthy,0,0,"Wealthy,0.6","Retired,0.35",
#,TheChurchOfChrist,PROTEST,A Igreja de Cristo,0.7,0.35,0.5,0.6,A Igreja de Cristo tem expressado consternacao com as politicas do governo.,A Igreja de Cristo estao realizando reunioes na camara municipal para expressar sua raiva contra o governo atual.,A Igreja de Cristo esta pregando ativamente a todos os membros a se opor ao governo e apoiar a oposicao.,Religious,0.07,35,"Religious,1.0",,
#,HumanRightsSociety,PROTEST,A Sociedade dos Direitos Humanos,0.7,0.35,0.5,0.4,A Sociedade de Direitos Humanos tem criticado a politica do governo no radio.,A Sociedade de Direitos Humanos diz que incentivar ativamente aos seus membros a se opor ao governo atual.,A Sociedade de Direitos Humanos esta ameacando de acao direta para mostrar que e oposicao ao atual governo.,Liberal,0.04,35,"Liberal,0.5","MiddleIncome,0.5",
#,TheCommunistParty,PROTEST,O Partido Comunista,0.7,0.35,0.5,1,O Partido Comunista tem criticado fortemente as politicas do atual governo.,O Partido Comunista declarou que o governo e ilegitimo e incitou os apoiadores para se opoem a ela em todos os sentidos.,O Partido Comunista esta pedindo ativamente aos seus membros a tomar medidas nao-violenta contra as politicas do governo.,Socialist,0.14,0.07,"Socialist,0.7","Poor,0.2","TradeUnionist,0.1"
#,TraditionalValuesAlliance,PROTEST,Alianca dos Valores Tradicionais,0.7,0.35,0.4,0.4,A Alianca dos Valores Tradicionais se manifestaram fortemente contra a politica do governo.,A Alianca dos Valores Tradicionais esta montando uma campanha online contra o governo.,A Alianca dos Valores Tradicionais diz que vai se opor a politica do governo por todos os meios em que tem a disposicao.,Conservatives,0.07,35,"Conservatives,1.0",,
#,ThePatriotParty,PROTEST,O Partido Patriota,0.7,0.35,0.4,1,Membros do 'Partido Patriota' estao criticando a politica do governo em seus folhetos.,O Partido Patriota ja avisou que ira interromper reunioes do governo e eventos para fazer a sua oposicao sentida. ,O Partido Patriota se recusou a descartar a acao fisica direta contra o governo atual.,Patriot,0.11375,0.056875,"Patriot,0.75","Poor,0.25",
#,FriendsOfThePlanet,PROTEST,Amigos do Planeta,0.7,0.35,0.3,0.8,Os 'Amigos do Planeta' estao criticando as politicas do governo em foruns online. ,Os Amigos do Planeta tem alertado que e dever dos seus membros a 'luta contra a politica do governo em todos os niveis'.,Os Amigos do Planeta tem organizado protestos nas casas dos funcionarios do governo.,Environmentalist,105,0.0525,"Environmentalist,0.75","Poor,0.25",
#,EqualityNow,PROTEST,Igualdade Ja!,0.7,0.35,0.5,0.6,Membros 'Igualdade Ja' pediram ao governo para mudar a sua politica em muitas areas.,'Igualdade Ja' esta realizando uma grande campanha on-line incentivando as pessoas a se opor a politica do governo.,"'Igualdade Ja' se comprometeram a defender os direitos dos cidadaos por parte do governo, e de combater a 'forca com forca'. ",EthnicMinorities,0.0875,0.04375,"EthnicMinorities,0.75","Poor,0.25",
#,BusinessFirst,PROTEST,Negocios Primeiro,0.7,0.35,0.3,0.6,'Negocios Primeiro' aconselhou muitos de seus membros para descontinuar o suporte para o atual governo.,"'Negocios Primeiro', alertou que a politica do governo atual coloca em rota de colisao perigosa com os objectivos das grandes empresas.",'Negocios Primeiro' ja avisou que nao vai ficar parado e permitir que o governo para destruir a comunidade empresarial por mais tempo.,Capitalist,0.0875,0.04375,"Wealthy,0.4","Capitalist,0.4","SelfEmployed,0.2"
